stressed out,twenty one pilots,blurryface,stressed out,3:22,pop
ride,twenty one pilots,blurryface,ride,3:34,pop
the judge,twenty one pilots,blurryface,the judge,4:57,country
the kid i used to know,arrested youth,sobville,the kid i used to know,2:25,alt-rock
expectations,arrested youth,sobville,expectations,3:16,alt-rock
sob story,arrested youth,sobville,sob story,3:16,alt-rock
paradise,coldplay,mylo xyloto,paradise,4:44,pop
charlie brown,coldplay,mylo xyloto,charlie brown,4:45,pop
up with the birds,coldplay,mylo xyloto,up with the birds,3:45,pop
industry baby,lil nas x,montero,industry baby,3:32,hip hop
thats what i want,lil nas x,montero,thats what i want,2:23,hip hop
montero,lil nas x,montero,montero,3:32,hip hop
